sub_0
Epoch: [37/1000], classify_loss: 0.9828, domain_loss_s: 0.6650, domain_loss_t: 0.7393, domain_loss: 1.4043,total_loss: 2.3871, acc_loss: 0.3903
Epoch: [38/1000], classify_loss: 0.9807, domain_loss_s: 0.6652, domain_loss_t: 0.7388, domain_loss: 1.4041,total_loss: 2.3848, acc_loss: 0.3906
Epoch: [39/1000], classify_loss: 0.9786, domain_loss_s: 0.6654, domain_loss_t: 0.7384, domain_loss: 1.4038,total_loss: 2.3825, acc_loss: 0.3903
Epoch: [40/1000], classify_loss: 0.9766, domain_loss_s: 0.6656, domain_loss_t: 0.7380, domain_loss: 1.4036,total_loss: 2.3802, acc_loss: 0.3906
Epoch: [41/1000], classify_loss: 0.9745, domain_loss_s: 0.6658, domain_loss_t: 0.7376, domain_loss: 1.4034,total_loss: 2.3779, acc_loss: 0.3912
Epoch: [42/1000], classify_loss: 0.9725, domain_loss_s: 0.6660, domain_loss_t: 0.7372, domain_loss: 1.4032,total_loss: 2.3757, acc_loss: 0.3915
Epoch: [43/1000], classify_loss: 0.9705, domain_loss_s: 0.6662, domain_loss_t: 0.7368, domain_loss: 1.4031,total_loss: 2.3736, acc_loss: 0.3915
Epoch: [44/1000], classify_loss: 0.9685, domain_loss_s: 0.6665, domain_loss_t: 0.7365, domain_loss: 1.4029,total_loss: 2.3714, acc_loss: 0.3915
Epoch: [45/1000], classify_loss: 0.9666, domain_loss_s: 0.6667, domain_loss_t: 0.7361, domain_loss: 1.4028,total_loss: 2.3694, acc_loss: 0.3909
Epoch: [46/1000], classify_loss: 0.9646, domain_loss_s: 0.6669, domain_loss_t: 0.7358, domain_loss: 1.4027,total_loss: 2.3673, acc_loss: 0.3909
Epoch: [47/1000], classify_loss: 0.9627, domain_loss_s: 0.6671, domain_loss_t: 0.7355, domain_loss: 1.4026,total_loss: 2.3653, acc_loss: 0.3912
Epoch: [48/1000], classify_loss: 0.9608, domain_loss_s: 0.6674, domain_loss_t: 0.7351, domain_loss: 1.4025,total_loss: 2.3633, acc_loss: 0.3915
Epoch: [49/1000], classify_loss: 0.9590, domain_loss_s: 0.6676, domain_loss_t: 0.7348, domain_loss: 1.4024,total_loss: 2.3614, acc_loss: 0.3912
Epoch: [50/1000], classify_loss: 0.9571, domain_loss_s: 0.6678, domain_loss_t: 0.7345, domain_loss: 1.4024,total_loss: 2.3595, acc_loss: 0.3912
Epoch: [51/1000], classify_loss: 0.9553, domain_loss_s: 0.6681, domain_loss_t: 0.7343, domain_loss: 1.4023,total_loss: 2.3576, acc_loss: 0.3918
Epoch: [52/1000], classify_loss: 0.9535, domain_loss_s: 0.6683, domain_loss_t: 0.7340, domain_loss: 1.4023,total_loss: 2.3558, acc_loss: 0.3918
Epoch: [53/1000], classify_loss: 0.9517, domain_loss_s: 0.6686, domain_loss_t: 0.7337, domain_loss: 1.4023,total_loss: 2.3540, acc_loss: 0.3924
Epoch: [54/1000], classify_loss: 0.9500, domain_loss_s: 0.6689, domain_loss_t: 0.7335, domain_loss: 1.4023,total_loss: 2.3523, acc_loss: 0.3918
Epoch: [55/1000], classify_loss: 0.9483, domain_loss_s: 0.6691, domain_loss_t: 0.7332, domain_loss: 1.4023,total_loss: 2.3506, acc_loss: 0.3918
Epoch: [56/1000], classify_loss: 0.9466, domain_loss_s: 0.6694, domain_loss_t: 0.7330, domain_loss: 1.4024,total_loss: 2.3489, acc_loss: 0.3918
Epoch: [57/1000], classify_loss: 0.9449, domain_loss_s: 0.6697, domain_loss_t: 0.7327, domain_loss: 1.4024,total_loss: 2.3473, acc_loss: 0.3930
Epoch: [58/1000], classify_loss: 0.9433, domain_loss_s: 0.6700, domain_loss_t: 0.7325, domain_loss: 1.4025,total_loss: 2.3457, acc_loss: 0.3939
