sub_0
Epoch: [0/1000], classify_loss: 1.1217, domain_loss_s: 0.7120, domain_loss_t: 0.6799, domain_loss: 1.3919,total_loss: 2.5136, accurance: 0.2187
Epoch: [1/1000], classify_loss: 1.0112, domain_loss_s: 0.6903, domain_loss_t: 0.6640, domain_loss: 1.3543,total_loss: 2.3654, accurance: 0.2514
Epoch: [2/1000], classify_loss: 0.9474, domain_loss_s: 0.6826, domain_loss_t: 0.6564, domain_loss: 1.3390,total_loss: 2.2864, accurance: 0.3474
Epoch: [3/1000], classify_loss: 0.8974, domain_loss_s: 0.6673, domain_loss_t: 0.6488, domain_loss: 1.3160,total_loss: 2.2135, accurance: 0.4204
Epoch: [4/1000], classify_loss: 0.8469, domain_loss_s: 0.6507, domain_loss_t: 0.6410, domain_loss: 1.2917,total_loss: 2.1385, accurance: 0.4928
Epoch: [5/1000], classify_loss: 0.8015, domain_loss_s: 0.6368, domain_loss_t: 0.6377, domain_loss: 1.2745,total_loss: 2.0760, accurance: 0.5431
Epoch: [6/1000], classify_loss: 0.7667, domain_loss_s: 0.6242, domain_loss_t: 0.6364, domain_loss: 1.2606,total_loss: 2.0273, accurance: 0.5961
Epoch: [7/1000], classify_loss: 0.7354, domain_loss_s: 0.6135, domain_loss_t: 0.6355, domain_loss: 1.2490,total_loss: 1.9843, accurance: 0.6044
Epoch: [8/1000], classify_loss: 0.7065, domain_loss_s: 0.6022, domain_loss_t: 0.6359, domain_loss: 1.2381,total_loss: 1.9446, accurance: 0.6002
Epoch: [9/1000], classify_loss: 0.6812, domain_loss_s: 0.5929, domain_loss_t: 0.6379, domain_loss: 1.2308,total_loss: 1.9120, accurance: 0.6132
Epoch: [10/1000], classify_loss: 0.6570, domain_loss_s: 0.5859, domain_loss_t: 0.6409, domain_loss: 1.2268,total_loss: 1.8838, accurance: 0.6317
Epoch: [11/1000], classify_loss: 0.6334, domain_loss_s: 0.5809, domain_loss_t: 0.6448, domain_loss: 1.2256,total_loss: 1.8591, accurance: 0.6479
Epoch: [12/1000], classify_loss: 0.6103, domain_loss_s: 0.5781, domain_loss_t: 0.6485, domain_loss: 1.2266,total_loss: 1.8369, accurance: 0.6541
Epoch: [13/1000], classify_loss: 0.5885, domain_loss_s: 0.5778, domain_loss_t: 0.6526, domain_loss: 1.2304,total_loss: 1.8190, accurance: 0.6662
Epoch: [14/1000], classify_loss: 0.5684, domain_loss_s: 0.5784, domain_loss_t: 0.6570, domain_loss: 1.2354,total_loss: 1.8039, accurance: 0.6712
Epoch: [15/1000], classify_loss: 0.5507, domain_loss_s: 0.5786, domain_loss_t: 0.6614, domain_loss: 1.2400,total_loss: 1.7907, accurance: 0.6647
Epoch: [16/1000], classify_loss: 0.5343, domain_loss_s: 0.5783, domain_loss_t: 0.6654, domain_loss: 1.2437,total_loss: 1.7781, accurance: 0.6591
Epoch: [17/1000], classify_loss: 0.5192, domain_loss_s: 0.5787, domain_loss_t: 0.6676, domain_loss: 1.2462,total_loss: 1.7654, accurance: 0.6568
Epoch: [18/1000], classify_loss: 0.5040, domain_loss_s: 0.5796, domain_loss_t: 0.6679, domain_loss: 1.2474,total_loss: 1.7514, accurance: 0.6585
Epoch: [19/1000], classify_loss: 0.4881, domain_loss_s: 0.5817, domain_loss_t: 0.6706, domain_loss: 1.2523,total_loss: 1.7404, accurance: 0.6676
Epoch: [20/1000], classify_loss: 0.4729, domain_loss_s: 0.5845, domain_loss_t: 0.6762, domain_loss: 1.2607,total_loss: 1.7335, accurance: 0.6847
Epoch: [21/1000], classify_loss: 0.4589, domain_loss_s: 0.5880, domain_loss_t: 0.6868, domain_loss: 1.2748,total_loss: 1.7337, accurance: 0.6732
Epoch: [22/1000], classify_loss: 0.4428, domain_loss_s: 0.5927, domain_loss_t: 0.6987, domain_loss: 1.2914,total_loss: 1.7342, accurance: 0.6626
Epoch: [23/1000], classify_loss: 0.4196, domain_loss_s: 0.5979, domain_loss_t: 0.7059, domain_loss: 1.3038,total_loss: 1.7235, accurance: 0.6488
Epoch: [24/1000], classify_loss: 0.3946, domain_loss_s: 0.6031, domain_loss_t: 0.7096, domain_loss: 1.3126,total_loss: 1.7072, accurance: 0.6435
Epoch: [25/1000], classify_loss: 0.3761, domain_loss_s: 0.6096, domain_loss_t: 0.7106, domain_loss: 1.3202,total_loss: 1.6962, accurance: 0.6406
Epoch: [26/1000], classify_loss: 0.3621, domain_loss_s: 0.6160, domain_loss_t: 0.7088, domain_loss: 1.3248,total_loss: 1.6870, accurance: 0.6476
Epoch: [27/1000], classify_loss: 0.3502, domain_loss_s: 0.6229, domain_loss_t: 0.7056, domain_loss: 1.3285,total_loss: 1.6786, accurance: 0.6697
Epoch: [28/1000], classify_loss: 0.3395, domain_loss_s: 0.6315, domain_loss_t: 0.7021, domain_loss: 1.3336,total_loss: 1.6731, accurance: 0.6712
Epoch: [29/1000], classify_loss: 0.3291, domain_loss_s: 0.6424, domain_loss_t: 0.6998, domain_loss: 1.3421,total_loss: 1.6713, accurance: 0.6721
Epoch: [30/1000], classify_loss: 0.3196, domain_loss_s: 0.6557, domain_loss_t: 0.6982, domain_loss: 1.3538,total_loss: 1.6735, accurance: 0.6603
Epoch: [31/1000], classify_loss: 0.3118, domain_loss_s: 0.6712, domain_loss_t: 0.6976, domain_loss: 1.3689,total_loss: 1.6807, accurance: 0.6597
Epoch: [32/1000], classify_loss: 0.3048, domain_loss_s: 0.6864, domain_loss_t: 0.6996, domain_loss: 1.3860,total_loss: 1.6907, accurance: 0.6626
Epoch: [33/1000], classify_loss: 0.2979, domain_loss_s: 0.6982, domain_loss_t: 0.7018, domain_loss: 1.4000,total_loss: 1.6979, accurance: 0.6676
Epoch: [34/1000], classify_loss: 0.2917, domain_loss_s: 0.7077, domain_loss_t: 0.7033, domain_loss: 1.4110,total_loss: 1.7026, accurance: 0.6609
Epoch: [35/1000], classify_loss: 0.2851, domain_loss_s: 0.7152, domain_loss_t: 0.7073, domain_loss: 1.4225,total_loss: 1.7077, accurance: 0.6573
Epoch: [36/1000], classify_loss: 0.2782, domain_loss_s: 0.7226, domain_loss_t: 0.7150, domain_loss: 1.4376,total_loss: 1.7157, accurance: 0.6682
Epoch: [37/1000], classify_loss: 0.2703, domain_loss_s: 0.7286, domain_loss_t: 0.7231, domain_loss: 1.4517,total_loss: 1.7220, accurance: 0.6688
Epoch: [38/1000], classify_loss: 0.2617, domain_loss_s: 0.7328, domain_loss_t: 0.7299, domain_loss: 1.4627,total_loss: 1.7245, accurance: 0.6718
Epoch: [39/1000], classify_loss: 0.2531, domain_loss_s: 0.7347, domain_loss_t: 0.7381, domain_loss: 1.4728,total_loss: 1.7259, accurance: 0.6738
Epoch: [40/1000], classify_loss: 0.2457, domain_loss_s: 0.7346, domain_loss_t: 0.7469, domain_loss: 1.4815,total_loss: 1.7272, accurance: 0.6729
Epoch: [41/1000], classify_loss: 0.2380, domain_loss_s: 0.7340, domain_loss_t: 0.7552, domain_loss: 1.4892,total_loss: 1.7272, accurance: 0.6612
