sub_0
Epoch: [38/1000], classify_loss: 0.1825, domain_loss_s: 0.7444, domain_loss_t: 0.7273, domain_loss: 1.4716,total_loss: 1.6541, accurance: 0.5446
Epoch: [39/1000], classify_loss: 0.1745, domain_loss_s: 0.7443, domain_loss_t: 0.7201, domain_loss: 1.4644,total_loss: 1.6389, accurance: 0.5213
Epoch: [40/1000], classify_loss: 0.1623, domain_loss_s: 0.7448, domain_loss_t: 0.7141, domain_loss: 1.4589,total_loss: 1.6212, accurance: 0.5166
Epoch: [41/1000], classify_loss: 0.1505, domain_loss_s: 0.7469, domain_loss_t: 0.7103, domain_loss: 1.4571,total_loss: 1.6076, accurance: 0.5146
Epoch: [42/1000], classify_loss: 0.1330, domain_loss_s: 0.7499, domain_loss_t: 0.7080, domain_loss: 1.4579,total_loss: 1.5909, accurance: 0.5052
Epoch: [43/1000], classify_loss: 0.1228, domain_loss_s: 0.7534, domain_loss_t: 0.7083, domain_loss: 1.4617,total_loss: 1.5845, accurance: 0.5199
Epoch: [44/1000], classify_loss: 0.1162, domain_loss_s: 0.7546, domain_loss_t: 0.7095, domain_loss: 1.4642,total_loss: 1.5804, accurance: 0.5340
Epoch: [45/1000], classify_loss: 0.1108, domain_loss_s: 0.7550, domain_loss_t: 0.7100, domain_loss: 1.4649,total_loss: 1.5757, accurance: 0.5428
Epoch: [46/1000], classify_loss: 0.1051, domain_loss_s: 0.7544, domain_loss_t: 0.7081, domain_loss: 1.4624,total_loss: 1.5676, accurance: 0.5761
Epoch: [47/1000], classify_loss: 0.1001, domain_loss_s: 0.7534, domain_loss_t: 0.7059, domain_loss: 1.4593,total_loss: 1.5594, accurance: 0.6032
Epoch: [48/1000], classify_loss: 0.0959, domain_loss_s: 0.7527, domain_loss_t: 0.7032, domain_loss: 1.4559,total_loss: 1.5518, accurance: 0.6161
Epoch: [49/1000], classify_loss: 0.0918, domain_loss_s: 0.7528, domain_loss_t: 0.7000, domain_loss: 1.4527,total_loss: 1.5445, accurance: 0.6232
Epoch: [50/1000], classify_loss: 0.0880, domain_loss_s: 0.7532, domain_loss_t: 0.6970, domain_loss: 1.4502,total_loss: 1.5382, accurance: 0.6250
Epoch: [51/1000], classify_loss: 0.0849, domain_loss_s: 0.7526, domain_loss_t: 0.6941, domain_loss: 1.4467,total_loss: 1.5316, accurance: 0.6276
Epoch: [52/1000], classify_loss: 0.0821, domain_loss_s: 0.7502, domain_loss_t: 0.6918, domain_loss: 1.4420,total_loss: 1.5241, accurance: 0.6382
Epoch: [53/1000], classify_loss: 0.0795, domain_loss_s: 0.7468, domain_loss_t: 0.6904, domain_loss: 1.4372,total_loss: 1.5167, accurance: 0.6506
Epoch: [54/1000], classify_loss: 0.0766, domain_loss_s: 0.7434, domain_loss_t: 0.6901, domain_loss: 1.4335,total_loss: 1.5101, accurance: 0.6688
Epoch: [55/1000], classify_loss: 0.0738, domain_loss_s: 0.7403, domain_loss_t: 0.6902, domain_loss: 1.4305,total_loss: 1.5043, accurance: 0.6780
Epoch: [56/1000], classify_loss: 0.0713, domain_loss_s: 0.7373, domain_loss_t: 0.6916, domain_loss: 1.4289,total_loss: 1.5002, accurance: 0.7153
Epoch: [57/1000], classify_loss: 0.0689, domain_loss_s: 0.7341, domain_loss_t: 0.6941, domain_loss: 1.4283,total_loss: 1.4972, accurance: 0.7306
Epoch: [58/1000], classify_loss: 0.0665, domain_loss_s: 0.7315, domain_loss_t: 0.6966, domain_loss: 1.4281,total_loss: 1.4946, accurance: 0.7404
Epoch: [59/1000], classify_loss: 0.0642, domain_loss_s: 0.7297, domain_loss_t: 0.6995, domain_loss: 1.4292,total_loss: 1.4934, accurance: 0.7574
Epoch: [60/1000], classify_loss: 0.0621, domain_loss_s: 0.7278, domain_loss_t: 0.7030, domain_loss: 1.4309,total_loss: 1.4929, accurance: 0.7639
Epoch: [61/1000], classify_loss: 0.0601, domain_loss_s: 0.7255, domain_loss_t: 0.7069, domain_loss: 1.4324,total_loss: 1.4925, accurance: 0.7751
Epoch: [62/1000], classify_loss: 0.0582, domain_loss_s: 0.7230, domain_loss_t: 0.7091, domain_loss: 1.4321,total_loss: 1.4903, accurance: 0.7866
Epoch: [63/1000], classify_loss: 0.0563, domain_loss_s: 0.7201, domain_loss_t: 0.7114, domain_loss: 1.4314,total_loss: 1.4878, accurance: 0.7878
Epoch: [64/1000], classify_loss: 0.0545, domain_loss_s: 0.7170, domain_loss_t: 0.7141, domain_loss: 1.4311,total_loss: 1.4856, accurance: 0.7892
Epoch: [65/1000], classify_loss: 0.0528, domain_loss_s: 0.7137, domain_loss_t: 0.7162, domain_loss: 1.4299,total_loss: 1.4827, accurance: 0.7931
Epoch: [66/1000], classify_loss: 0.0512, domain_loss_s: 0.7105, domain_loss_t: 0.7164, domain_loss: 1.4269,total_loss: 1.4781, accurance: 0.7945
