sub_0
Epoch: [38/500], classify_loss: 0.2028, domain_loss_s: 0.8815, domain_loss_t: 0.6469, domain_loss: 1.5284,total_loss: 1.7313, accurance: 0.5434
Epoch: [39/500], classify_loss: 0.1908, domain_loss_s: 0.8850, domain_loss_t: 0.6451, domain_loss: 1.5302,total_loss: 1.7210, accurance: 0.5231
Epoch: [40/500], classify_loss: 0.1806, domain_loss_s: 0.8831, domain_loss_t: 0.6442, domain_loss: 1.5273,total_loss: 1.7079, accurance: 0.5025
Epoch: [41/500], classify_loss: 0.1709, domain_loss_s: 0.8750, domain_loss_t: 0.6440, domain_loss: 1.5189,total_loss: 1.6898, accurance: 0.4831
Epoch: [42/500], classify_loss: 0.1636, domain_loss_s: 0.8655, domain_loss_t: 0.6417, domain_loss: 1.5072,total_loss: 1.6707, accurance: 0.4554
Epoch: [43/500], classify_loss: 0.1549, domain_loss_s: 0.8577, domain_loss_t: 0.6396, domain_loss: 1.4974,total_loss: 1.6523, accurance: 0.4345
Epoch: [44/500], classify_loss: 0.1478, domain_loss_s: 0.8513, domain_loss_t: 0.6395, domain_loss: 1.4909,total_loss: 1.6386, accurance: 0.4133
Epoch: [45/500], classify_loss: 0.1395, domain_loss_s: 0.8452, domain_loss_t: 0.6414, domain_loss: 1.4866,total_loss: 1.6261, accurance: 0.3827
Epoch: [46/500], classify_loss: 0.1301, domain_loss_s: 0.8402, domain_loss_t: 0.6431, domain_loss: 1.4833,total_loss: 1.6134, accurance: 0.3709
Epoch: [47/500], classify_loss: 0.1220, domain_loss_s: 0.8384, domain_loss_t: 0.6439, domain_loss: 1.4824,total_loss: 1.6044, accurance: 0.3618
Epoch: [48/500], classify_loss: 0.1139, domain_loss_s: 0.8397, domain_loss_t: 0.6462, domain_loss: 1.4859,total_loss: 1.5997, accurance: 0.3609
Epoch: [49/500], classify_loss: 0.1067, domain_loss_s: 0.8406, domain_loss_t: 0.6473, domain_loss: 1.4880,total_loss: 1.5946, accurance: 0.3574
Epoch: [50/500], classify_loss: 0.0990, domain_loss_s: 0.8395, domain_loss_t: 0.6464, domain_loss: 1.4859,total_loss: 1.5849, accurance: 0.3618
Epoch: [51/500], classify_loss: 0.0927, domain_loss_s: 0.8371, domain_loss_t: 0.6452, domain_loss: 1.4822,total_loss: 1.5750, accurance: 0.3650
Epoch: [52/500], classify_loss: 0.0889, domain_loss_s: 0.8337, domain_loss_t: 0.6448, domain_loss: 1.4784,total_loss: 1.5673, accurance: 0.3686
Epoch: [53/500], classify_loss: 0.0855, domain_loss_s: 0.8291, domain_loss_t: 0.6455, domain_loss: 1.4746,total_loss: 1.5601, accurance: 0.3706
Epoch: [54/500], classify_loss: 0.0818, domain_loss_s: 0.8247, domain_loss_t: 0.6475, domain_loss: 1.4722,total_loss: 1.5540, accurance: 0.3803
Epoch: [55/500], classify_loss: 0.0776, domain_loss_s: 0.8215, domain_loss_t: 0.6500, domain_loss: 1.4715,total_loss: 1.5490, accurance: 0.3909
Epoch: [56/500], classify_loss: 0.0736, domain_loss_s: 0.8198, domain_loss_t: 0.6531, domain_loss: 1.4730,total_loss: 1.5465, accurance: 0.3968
Epoch: [57/500], classify_loss: 0.0701, domain_loss_s: 0.8191, domain_loss_t: 0.6567, domain_loss: 1.4758,total_loss: 1.5459, accurance: 0.4001
Epoch: [58/500], classify_loss: 0.0670, domain_loss_s: 0.8192, domain_loss_t: 0.6607, domain_loss: 1.4798,total_loss: 1.5468, accurance: 0.4045
Epoch: [59/500], classify_loss: 0.0644, domain_loss_s: 0.8187, domain_loss_t: 0.6657, domain_loss: 1.4844,total_loss: 1.5488, accurance: 0.4098
Epoch: [60/500], classify_loss: 0.0625, domain_loss_s: 0.8156, domain_loss_t: 0.6716, domain_loss: 1.4872,total_loss: 1.5497, accurance: 0.4239
Epoch: [61/500], classify_loss: 0.0607, domain_loss_s: 0.8109, domain_loss_t: 0.6791, domain_loss: 1.4901,total_loss: 1.5508, accurance: 0.4336
Epoch: [62/500], classify_loss: 0.0590, domain_loss_s: 0.8046, domain_loss_t: 0.6872, domain_loss: 1.4919,total_loss: 1.5508, accurance: 0.4622
Epoch: [63/500], classify_loss: 0.0573, domain_loss_s: 0.7970, domain_loss_t: 0.6960, domain_loss: 1.4930,total_loss: 1.5503, accurance: 0.4704
Epoch: [64/500], classify_loss: 0.0555, domain_loss_s: 0.7885, domain_loss_t: 0.7044, domain_loss: 1.4929,total_loss: 1.5484, accurance: 0.4825
Epoch: [65/500], classify_loss: 0.0540, domain_loss_s: 0.7793, domain_loss_t: 0.7107, domain_loss: 1.4901,total_loss: 1.5440, accurance: 0.4893
Epoch: [66/500], classify_loss: 0.0523, domain_loss_s: 0.7700, domain_loss_t: 0.7158, domain_loss: 1.4858,total_loss: 1.5382, accurance: 0.4943
Epoch: [67/500], classify_loss: 0.0506, domain_loss_s: 0.7603, domain_loss_t: 0.7197, domain_loss: 1.4801,total_loss: 1.5307, accurance: 0.4993
